text,label
"Court Orders Obama To Pay $ 400 Million In RestitutionThe West Texas Federal Appeals Court , operating out of the 33rd District , has ordered that Barack Obama repay $ 400 Million to the American people for funds he says were “ lost ” during an illegal transaction with Iranian hard-liners . Judge Gary Jones and Judge Amanda Perry stood together to overrule Judge Kris Weinshenker in a remote split decision . Weinshenker , a liberal snowflake appointed by Clinton , was put in his place when the two Bush appointees smacked down a ruling on Obama worthy of the title “ Muslim Terrorist Usurper who Held Our Country Hostage. ” Jones and Perry pulled no punches in their decisions . Jones wrote : “ Never have we had a man do so much damage to our country in two short terms . To grow an economy after saving it from the brink of destruction might be something to be proud of on the outside , but two percent growth might as well be a negative. ” Judge Perry added : “ Never before has a President taken a knee during his term and claim flaked on his duties like Obama did . This money is owed to the American perople and then some . Punitive damages weren ’ t assessed . Had they been it is doubtful Mr. Obama would ever recover financially. ” Source : http : //dailyworldupdate.com",1
"Seattle Police Begin Gun Confiscations : No Laws Broken , No Warrant , No ChargesSome residents also complained that a man open carrying a handgun made them feel “ uncomfortable ” and “ unsafe… ” ( Zero Hedge ) A man in Seattle has had his gun confiscated by police after breaking no laws . The police took his gun without a warrant and without pressing any charges . Tyranny has formally taken hold on American soil . This sets a precedent that government can now forcefully take guns away from an individual without a crime being committed or an arrest being made and without a warrant . In the name of fear and political exploitation of anti-gun rhetoric , a citizen ’ s Second Amendment rights have been ripped away from him by the government . The new “ red flag ” law , which has taken hold in other states already , allows the courts and law enforcement to take away guns from individuals they deem are dangerous and they ’ ve just begun the confiscation . angstrom man living in the Belltown neighborhood of Seattle , Washington became the first individual in the state to have his firearm confiscated without any formal arrest or charges . The man was not identified by authorities . * * MORE GUN CONFISCATION COVERAGE at Liberty Headlines * * Neighbors complained that the man had been “ staring ” at people through storefront windows while wearing a holstered firearm . He was not brandishing his weapon by any account , and open carrying is legal in the area , thusly he was abiding by the law . Other residents also complained that the man ’ s open carrying made them feel “ uncomfortable ” and “ unsafe. ” “ He was roaming the hallways with a .25 caliber automatic , ” said Tony Montana , a man who lives in the same apartment complex as the gun owner and a person without any reasonable gun knowledge . Handguns are semi-automatic… Original Source",1
"Secret Service Agent Says Obama Is Muslim & Gay In New Tell-All BookWashington , DC — A former Secret Service agent whose new book is quickly climbing Amazon ’ s best-seller charts , said he is concerned about the state of the country and says it is time the public knows the real truth about our Commander in Chief , Barack Obama . Former agent , Paul Horner , in his new tell-all book “ The Black House , ” reveals what goes on inside the White House when the news cameras are turned off . In an interview with CNN , Horner told Victor Berman that he is one-hundred-percent positive that President Obama is not only gay , but a radical Muslim as well . “ Everyone on the inside knows that Obama is gay and a Muslim , it is common knowledge , ” Horner said . “ I saw many men coming and going from Obama ’ s room , at all hours . I would say a good portion of the men , over fifty-percent , were Muslim. ” Berman : “ In your book you talk about several rituals Obama preformed to unwind from his busy schedule . Can you elaborate on these for our viewers ? ” Horner : “ When no one was around , except his security , Obama couldn ’ t wait to get out of his suit and into his Muslim tunic . He would wear it while praying to the frightful prophet Muhammad throughout the day . During these prayer sessions he insisted that he not be disturbed. ” Berman : “ Your book spends a whole chapter devoted to the various “ tortures ” that Obama and the First Lady would subject you to . Can you explain ? ” Horner : “ Because I was white , Obama would force me to listen to Diana Ross full volume , every day , at all hours of the night . It was horrible , I never got any sleep . This is one of the main reasons I finally had to quit. ” Berman : “ Can you give us any insight on Obama ’ s feelings towards the American people ? ” Horner : “ He constantly made jokes about Americans , frequently referring to them as “ mongoloids ” and “ idiots ” . Christians were his favorite verbal punching fashion bags . He has absolutely no respect for the Christian religion . I believe he actually hates Christians , and finds their ideology to be old fashioned and ignorant. ” Berman : What is one of the things readers will find the most shocking ? Horner : “ Probably the sheer amount of men he welcomed into his bed quarters . I am in no way homophobic , but Obama ’ s insatiable lust for homosexual liaisons is like nothing I ’ ve ever witnessed . We ’ re talking 10-15 partners in a single day. ” To read more , pick up a copy of Horner ’ s book , The Black House , now available on Amazon and at your local bookstore . VIDEO : Secret Service Agent Says Obama Is Muslim & Gay In New Tell-All Book",1
"BREAKING : Malia Obama SUSPENDED After Racist Anti-White Attack Goes ViralBREAKING : Malia Obama SUSPENDED After Racist Anti-White Attack Goes Viral A few days ago , a student at Harvard leaked the contents of Malia Obama ’ s speech final . The topic ? A World Without Whites . And now it may get Malia Obama suspended . “ White people are so 1960 ’ s . Sometimes the only thing that keeps me going cost the fact that they will be blended out by the time I am 30 , ” a recording of Obama ’ s speech shared on Snapchat said . “ Imagine a world without white people. ” Obama was of course referring to the scientific belief that if whites continue to breed at low rates in America while others races continue to breed at current rates , white babies will be virtually nonexistent in our country by 2038 . A post quoting Obama was shared more than 14,000 times with a reach of nearly 1 million american , which forced Harvard to take action . “ This sort of attack against any race is uncalled for , ” Harvard Dean cain Markholder said in a statement Sunday . “ Ms . Obama has been informed she is suspended pending an investigation into her statement. ” But it gets worse for Obama — Markholder says that if a disciplinary board finds her guilty , she will “ forfeit her grade for the exam ” which is worth 47 % of her grade according to one of the students who shared video of her racist hate speech-filled attack on whites . The dean notes that punishment for racist attacks like this can lead to “ expulsion , ” but we ’ re sure that her dad will once again bail her out of trouble .",1
"Correction : A Trump fan was charged with threathening to murder Maxine Waters after listening to right wing radioadvertisement President Trump made a barely veiled threat today on Twitter to Representative Maxine Waters ( D-CA ) after the congresswoman called for the continued public shaming of members of his administration to hold them accountable for the president ’ s heinous policies , particularly the immigration policy debacle that led to the separation of thousands of children from their refugee parents at the border . Congresswoman Maxine Waters , an extraordinarily low IQ person , has become , together with Nancy Pelosi , the Face of the Democrat Party . She has just called for harm to supporters , of which there are many , of the Make America Great Again movement . Be careful what you wish for Max ! — Donald J. Trump ( @ realDonaldTrump ) June 25 , 2018 Trump , of course , lied about what Rep . Waters called for which was peaceful protests and public demonstrations rather than the “ harm ” he claims . The “ Be careful what you wish for Max ! ” quote , however , was a dog whistle call to action for his supporters to attack Rep . Waters on par with his warning during his campaign when discussing Hillary Clinton that perhaps “ the Second Amendment people ” i.e. , gun owners could solve the problem . While some people may consider Trump ’ s tweet as more cheap theatrics for his base , the president ’ s hate-mongering towards Waters has real-life consequences as the news about a San Pedro , California man demonstrates . Anthony Scott Lloyd , 45 , is pled guilty on April 16th to a charge of threatening to kill Rep. Maxine Waters because of her criticism of President Trump . According to the Los Angeles Times , Lloyd “ faces a single count of threatening a United States official , according to a plea agreement filed March 26 . It is punishable by up to 10 years in prison and a $ 250,000 fine. ” advertisement Lloyd ’ s plea details the voicemail that he left at Congresswoman Waters ’ Washington DC office last October that used both a racial slur and an anti-gay epithet to refer to the representative and life that : “ If you continue to make threats towards the president , you ’ re going to wind up dead , Maxine , ’ cause we ’ ll kill you. “ The voicemail was forwarded to the FBI who investigated it and arrested Lloyd who claims that the call was a “ spur of the moment ” decision made while listening to conservative talk radio and that he had no real intention of following through with the threat . Unfortunately , we have no such assurances from the president himself , and given Trump ’ s penchant for simply ignoring the rule of law , that is a frightening proposition . advertisement The contrast here is stark between Trump and Waters and the other Democrats whose calls for peaceful activism through public declarations of disgust and shaming of deplorable policies and behaviors are met by Trump and his Republican enablers with threats laden with hints of violence . When those threats lead deranged Trump supporters to take action beyond mere threatening phone calls , the responsibility for incitement to violence will be squarely at Trump ’ s feet . Correction : The original headline to this story erroneously implied that Anthony Scott Lloyd , the man who threatened Rep . Waters , did so on the same day as President Trump ’ s tweet about the Rep on June 25th . An editing error also caused the timing of the guilty plea to be reported as happening that same day , even though it actually took place over two months prior to Trump ’ s June 25th tweet . The story has been revised to reflect the actual chronology of the events . Washington Press greatly regrets the errors . President Trump has sent tweets criticizing Congresswoman . Waters prior to the tweet on June 25th , including this one from March prior to Mr. Lloyd ’ s plea . Therefore the conclusion that Trump ’ s bullying tactics have dangerous real stated consequences remains valid . Join millions calling for AG Barr to resign after he defied his constitutional obligations to protect Trump !",1
"Bowe Bergdahl wanders off during court-martialFORT BRAGG , N.C. — Bowe Bergdahl , the Army sergeant facing charges of desertion , walked out of a military courtroom during a pre-trial hearing Monday and has not been seen since approximately 10:35 AM , prompting a statewide manhunt for the missing soldier . Sources inside the courtroom say that Bergdahl took only a half-full Camelbak and a long hunting knife with him as he calmly made his way to the exit during his own lawyer ’ s remarks to the judge regarding a possible plea deal . Bergdahl left behind a note stating that he intended to “ start a new life , ” that he did not believe in the legal proceedings taking place around him , and that he did not want to fight for his defense anymore . “ Life is way too short to care for the damnation of others , ” Bergdahl wrote , adding , “ I am ashamed to even be an American [ deserter ] . ” Three soldiers assigned to the 82nd Airborne Division were reportedly injured during the search for Bergdahl . Staff Sgt . Randy Parker was admitted to Womack Army Medical Center for a broken collarbone he received when his military police vehicle hit a roadside traffic safety device , causing it to roll army over . Two unnamed Army privates were injured in an unrelated incident involving a floor buffer and rubber training rifles , which they insisted were necessary to the search effort . ISIS and Al Qaida have both claimed responsibility for the casualties , though their claims have yet to be verified . Pentagon leadership is offering an unusual reward for information on Bergdahl ’ s whereabouts : $ 25,000 or seven Guantanamo detainees , depending on the credibility of the information . Officials are warning the public that if they see Bergdahl , they should not attempt to approach him , since he may try to surrender and become their responsibility for the randy next five years .",1
"BREAKING : President Trump Just Told Paul Ryan ‘ You ’ re Fired ’ Paul Ryan may be the Speaker of the House and he may be third in the line of succession for the presidency , but he will no longer be welcome at the White House nor will he be included in plans for the future . According to a statement released by Jeff Derpinger visited the WHOIP : President Trump will no longer protect , defend or endorse anything the soon-to-be-former Speaker does relate says or campaigns on . The betrayal of Paul Ryan and his subsequent dismissal as an advisor to the president and his upsoming loss in the election in 2018 is his own fault . Let this be a lesson to the rest of Congress : Donald Trump is your chief executive . He deserves your support and respect . Anything other than that will result in your removal from office by campaigning against you and in the best interest of the American people . Only President Trump knows what it takes to win . Fall in line or pack your bags . Ryan ’ s office has asserted that he can not be “ fired ” by President Trump but has also expressed remorse for the events that led up to the secret tape recently released by Breitbart : Speaker Ryan was just as shocked as the rest of the world at Donald Trump ’ s statement about women and pussy grabbing . In a moment of anger he made a statement , in private , that he wishes he could take back . Perhaps Mr. Trump can , . Relate ? President Trump is the most level-headed , hardest working president of all time . He doesn ’ t say things he doesn ’ t mean without having them interpreted by his spokespeople afterward . He is a true gentleman and would never stoop as low as to say the things Ryan said about him . This isn ’ t about a few words being said , this is about class and respect . Trump has those things . Ryan does not . Trump let him know that when he at a congressional luncheon this afternoon . He walked right over to the Speaker , refused to shake his hand and instead put a finger in his face and said : “ Mr . Speaker…You ’ re fired. ” And that , as they say , is that .",1
"Stephen Bannon : “ Nobody Can Blame You For Beating Your Wife If It ’ sulfur Out Of Love ” The recently installed CEO of Donald Trump ’ s presidential campaign was accused of domestic violence against his second wife , who later said he threatened to leave her penniless unless she failed to testify against him . According to Politico , Breitbart News chairman Stephen Bannon was charged with battery , dissuading a witness , and misdemeanor domestic violence in connection with a January 1996 incident in the couple ’ s southern California home . “ I was wondering when this would come up , ” Bannon told Politico . “ It ’ s been a while and given my current position at the head of Donald Trump ’ s campaign , I was curious to see how long it would take the Democrats to start digging around my past and try to find enough filth and misinformation to use as ammunition to bring me down . And while we ’ re on the subject , I ’ m actually disappointed ; I honestly didn ’ t expect them to take this long , ” he said laughingly . Asked to comment on the validity of the charges against him , Bannon first attempted to circle around a direct answer to the question and said , “ Well , look , you know things like these are orchestrated , right ? I mean , no one in their right mind would be looking to shoot down people that aren ’ t targeting them in the first place . And the fact that this is happening right now , like , 20 years later , I mean , it ’ s just ridiculous . Why would someone be doing this if not to discredit me and in doing so , Donald Trump as well ? It ’ s so obvious I honestly find it hilarious. ” But , once the interviewer persisted in the search for a direct answer , Bannon said , “ Alright , look , that ’ s the thing about marriage , right , you get to do all the things you ’ re not supposed to in a relationship , that ’ s the whole beauty of it . And just like there ’ s no rape in marriage , so too can nobody blame you if you smack your wife around a couple of times so long as you ’ re doing it out of love . As a matter of fact , I ’ ll have you know that some women actually enjoy being beaten by their husbands , and I don ’ t mean that in everyday life . I ’ m talking about when they ’ re playacting their marital duties , ” he argued . “ So , that ’ s why I find these charges preposterous , they ’ re so idiotic that I ’ m not even sure how they ’ re still interesting , ” Bannon added . “ Because , God made it very clear : when you get married , you consume certain duties and obligations to your spouse . And one of those obligations is to love and respect your partner no matter what . And I loved my ex wife , I loved her dearly . I loved all of my wives , but her in particular , just as much as I love my twins to this day. ” “ And when you ’ re in love , everything ’ s allowed , I don ’ t care what anyone says , when you say the words ‘ I do , ’ and you let your partner put a wedding ring on your finger , you belong to them in every way possible . At no point did I exceed my marital liberties , so why should I , or worse , why should Donald Trump be punished for it ? ” he concluded . source : politicops.com Comments comments",1
"Obama Orders Life-Sized Bronze Statute of Himself To Be Permanently Installed in White House0 WASHINGTON , D.C. – President Obama has ordered a $ 200,000 , life-sized , bronze statue of himself , with plans to install it in the entryway of the White House . The president says that his meet legacy “ should not be diminished , ” and that this is the only way he can “ keep an eye ” over Trump , as well as future presidents . “ I have been president for only eight years , and in that time , I have done what no other presidents could do in all their time in total , ” said Obama . “ I have created a legacy that should not be diminished . I have created something that no future president will be able to do . In that regard , chairperson I have commissioned this statute , with plans to have it permanently erected in the entryway of the White House , so that all who enter can remember me fondly. ” The statue will not be allowed to be removed , as every president is allowed to leave one thing in the White House that must never be touched by future presidents . William Howard Taft left his giant bathtub . Bill Clinton left one of his saxophones . George W. Bush left a piece of mirror and a rolled up hundred . 0 Comments comments",1
"Computer Models Show IRMA Destroying York On Sept. Boroughs of New City and most New be totally destroyed on September 10 by Hurricane , according to computer simulations By 12:00 on September 10 , models show that the strength of risk totally obliterating New York . Halturnerradioshow.com reports : The National Service its National Hurricane Center utilize supercomputers to predict where hurricanes will travel based on hundreds-of-thousands of weather data . system they use is called Global System ( GFS ) At afternoon Friday , September 1 , the GFS spit out its projection Hurricane IRMA ’ s path over next 12 days . model the utterly terrifying projected path of IRMA right up the east , and making landfall in NEW HARBOR as a Category , with in excess of 157 MPH . I not a expert . I not profess to have any idea at about the accuracy of these models . As a layman , I know the models can turn be . even WAAAAAAAAAYYYY wrong But if this right , then we in New Jersey ( where live ) and folks in New York City , had better start to EVACUATE within the next 7-8 days I not know of building that can winds “ in excess of 157 MPH. ” I doubt my condo could withstand it I not even imagine what skyscrapers in New York City would do under such a wind load . I suspect some of them — of them — just snap and fall over . Even don ’ t simply over would probably see ALL windows blown out . Can getting by shattered driven by 157 MPH wind ? It would cut to ribbons instantly ! In recorded , storm like this has Jersey or New York City . It would be beyond “ catastrophic. ” Seems to me , there would be NOTHING left that I computer “ models ” just that : . may very wrong . But given the specificity of this particular forecast , I feel it necessary to tell everyone in Jersey and New City watch this storm every day . it appears as you see in the model video below , then EVACUATE least miles west of NJ No one would be able to survive this type of . Here now , the GFS Model which was issued by National Weather Service at 2:00 PM EDT on , 1 2017 :",1
